cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
1742,2619,20.461,14.6,4.579,15.934,24.319,28.015,30.791,15.491,34.792,48.391,55.888,63.135,0.0,725454.40075,4162623.01925,20.46075,6.0237717499258,3.535,1,2618,7,2.368,2.627,2.62,2.624,2.855,2.541,2.676,2.443,2.278,2.754,2.555,2.694,2.487,2.362,6.0,158.0,725454.412,4162623.141,0,26844.5658775,31,10.4857948211491,13.5832875333333,8.12181368964142,8.44399667464303,Point,725454.412,4162623.141,67.12926723999999,Alive,8,Keep
1718,2580,19.329,15.4,6.538,14.842,18.388,22.407,27.027,19.268,33.112,40.589,50.212,59.749,0.0,725456.73875,4162624.13725,19.3295,5.64758931245888,3.425,1,2579,6,2.163,2.275,2.34,2.586,4.016,2.221,1.924,1.837,1.925,3.298,2.263,2.139,2.091,2.121,4.0,104.0,725455.885,4162624.221,0,26844.5658775,31,9.46661765636941,10.7175401,7.60933743546553,7.81325002157041,Point,725455.885,4162624.221,63.41535636,Alive,9,Thin
1704,2557,20.839,14.4,2.762,13.866,19.499,27.713,30.655,10.931,32.294,40.949,56.754,64.558,0.0,725457.13725,4162625.09525,20.8395,5.90279106254457,3.48,1,2556,6,2.134,2.439,2.29,2.3,1.315,1.973,2.071,2.447,2.23,1.551,2.12,2.151,2.472,2.319,7.0,199.0,725457.157,4162625.167,0,26844.5658775,31,10.6115970973461,12.5479997666667,8.19734366654887,8.665643329233,Point,725457.157,4162625.167,68.36942476,Alive,10,Keep
1679,2521,20.273,14.6,4.424,17.149,26.893,28.723,33.864,15.978,36.494,50.935,53.996,64.735,0.0,725458.82925,4162626.2585,20.27275,7.41576978121884,3.673,1,2520,7,2.933,2.518,2.639,2.663,2.958,2.863,3.126,2.655,2.537,2.952,2.693,2.888,2.466,2.395,6.0,134.0,725458.818,4162626.362,0,26844.5658775,31,10.7708815077402,13.3196641333333,7.69274356474706,8.07590999715207,Point,725458.818,4162626.362,66.51246932,Alive,11,Thin
1660,2490,19.967,14.2,2.912,12.642,17.857,22.702,30.356,11.321,30.608,39.896,50.515,64.96,0.0,725460.66775,4162627.548,19.96675,5.58186346903676,3.192,1,2489,7,2.203,2.532,2.313,2.614,1.812,2.106,1.893,2.01,2.323,1.982,2.303,2.143,2.298,2.51,5.0,134.0,725460.546,4162627.325,0,26844.5658775,31,10.178176876422,12.1926703666667,7.94125277722285,8.3443800027488,Point,725460.546,4162627.325,65.50853228,Alive,12,Keep
1649,2471,21.153,14.6,3.214,12.838,22.057,26.708,28.956,12.413,30.365,45.307,54.412,59.819,0.0,725462.136,4162628.1155,21.15325,5.85510159330443,3.488,1,2470,7,2.326,2.601,2.498,2.436,1.994,2.05,2.486,2.381,2.208,2.151,2.182,2.5,2.39,2.258,5.0,139.0,725462.159,4162628.073,0,26844.5658775,31,10.7732477272505,14.2619072095238,8.14647992047264,8.60722334562342,Point,725462.159,4162628.073,69.39960852,Alive,13,Keep
1624,2435,20.129,17.8,4.555,16.907,21.468,26.959,27.297,15.949,36.247,43.308,54.807,55.357,0.0,725463.7955,4162629.3635,20.129,6.58019437605981,3.672,1,2434,7,2.235,2.341,2.395,2.96,2.409,2.37,1.93,2.03,1.804,2.413,2.374,2.062,2.208,1.94,0.0,0.0,725463.587,4162629.452,0,26844.5658775,31,10.274059753559,14.7634869,7.84732842776346,8.29979002929183,Point,725463.587,4162629.452,66.04002836000001,Alive,14,Keep
1608,2409,20.648,14.2,5.38,20.077,32.836,36.712,47.759,18.466,40.437,57.081,62.513,81.132,0.0,725465.29725,4162630.06525,20.64825,8.41054490683018,3.663,1,2408,7,2.68,2.321,2.222,2.182,2.583,2.514,2.853,2.699,3.207,2.622,2.438,2.635,2.432,2.86,9.0,205.0,725465.46,4162630.316,0,26844.5658775,31,12.4003667944631,12.2038687,8.40697411138662,8.16769335816686,Point,725465.46,4162630.316,67.74278432,Alive,15,Keep
1560,2332,19.774,14.4,8.79,21.177,29.916,35.907,39.428,23.329,40.69,52.978,63.427,71.41,0.0,725466.815,4162631.046,19.77375,7.74995478149504,3.653,1,2331,7,2.814,2.242,2.352,2.338,5.197,3.157,2.92,2.94,2.691,3.891,2.744,2.581,2.594,2.424,6.0,125.0,725468.018,4162631.982,0,26844.5658775,31,11.0983197019849,10.0482357666667,7.71497937241544,7.19325001367817,Point,725468.018,4162631.982,64.87533016,Alive,16,Thin
1550,2314,19.534,15.0,3.728,12.251,15.557,18.174,22.383,13.557,29.491,36.361,42.998,52.411,0.0,725469.643,4162633.14175,19.53425,4.81237825017888,3.23,1,2313,7,2.032,2.544,2.395,2.708,2.407,2.048,1.798,1.706,1.723,2.51,2.247,2.102,2.02,1.999,6.0,205.0,725469.689,4162633.176,0,26844.5658775,31,8.82242990146104,9.942706,7.70280096121297,7.82024667812237,Point,725469.689,4162633.176,64.08792856,Alive,17,Thin
