cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
22,33,20.755,14.2,2.409,11.844,21.152,26.009,27.706,10.087,29.411,44.482,54.737,59.095,0.0,725460.22775,4162699.6995,20.75525,6.21497965633171,3.743,1,33,7,2.538,2.554,2.738,2.512,2.041,2.226,2.265,2.274,1.997,2.188,2.36,2.381,2.427,2.168,7.0,164.0,725460.114,4162699.551,0,26844.5658775,11,10.3128927704438,12.8756388333333,7.91071705110142,8.47066334327986,Point,725460.114,4162699.551,68.09383419999999,Alive,5,Keep
431,587,20.42,15.4,3.239,14.96,24.874,27.644,34.838,11.996,33.306,47.945,53.773,66.772,0.0,725461.68725,4162700.57875,20.42,6.64839934383053,3.584,1,586,7,2.537,2.397,2.461,2.569,2.992,2.712,2.644,2.375,2.499,2.717,2.566,2.521,2.31,2.396,5.0,122.0,725461.852,4162700.504,0,26844.5658775,11,11.0055699840354,13.1314487,7.9657975654525,7.71705669615399,Point,725461.852,4162700.504,66.9947528,Alive,6,Keep
416,569,20.608,15.2,2.579,14.671,21.865,27.539,38.48,10.674,33.561,44.486,55.464,74.792,0.0,725463.90575,4162702.807,20.6085,6.50477062526625,3.557,1,568,6,2.449,2.232,2.338,2.308,1.891,2.516,2.241,2.265,2.514,1.995,2.402,2.188,2.218,2.402,6.0,139.0,725463.384,4162701.793,0,26844.5658775,11,11.4945990809283,12.7220982333333,8.07855370892908,8.8011933841327,Point,725463.384,4162701.793,67.61155072,Alive,7,Keep
408,560,22.476,14.4,3.604,11.658,24.464,30.205,37.472,13.543,29.966,51.488,62.39,77.693,0.0,725465.471,4162702.4525,22.4755,5.89225921855541,3.547,1,559,6,2.207,2.494,2.373,2.212,3.232,1.872,2.474,2.599,2.523,2.844,2.121,2.587,2.674,2.587,8.0,203.0,725465.328,4162702.305,0,26844.5658775,11,12.4260029851232,13.613957,8.76588031129539,8.79489999842203,Point,725465.328,4162702.305,73.74015983999999,Alive,8,Keep
399,550,21.603,15.4,1.562,13.546,22.627,24.195,32.285,8.162,31.498,45.898,48.778,66.823,0.0,725466.003,4162702.717,21.6035,6.04183812520932,3.566,1,549,7,2.39,2.516,2.553,2.556,0.938,2.276,2.335,2.025,2.295,1.411,2.333,2.374,2.05,2.363,4.0,93.0,725466.397,4162703.627,0,26844.5658775,11,11.5540508333778,13.9838558666667,8.26688918416897,8.09111003979089,Point,725466.397,4162703.627,70.87598652,Alive,9,Keep
389,536,21.639,15.2,5.569,18.702,29.79,36.606,40.931,17.061,38.597,54.618,66.804,75.522,0.0,725468.18375,4162704.72425,21.6395,7.18660756223835,3.762,1,535,7,2.759,2.488,2.571,2.482,4.969,3.017,3.073,3.196,2.995,3.57,2.764,2.818,2.912,2.719,6.0,133.0,725468.202,4162704.619,0,26844.5658775,11,12.4511112002685,13.1067034,8.38343539305315,7.79011666713539,Point,725468.202,4162704.619,70.99409675999999,Alive,10,Keep
377,521,20.782,14.0,2.645,16.72,27.883,33.857,39.319,12.035,36.965,53.717,65.418,75.47,0.0,725469.16725,4162705.11025,20.7825,6.89879412448499,3.884,1,520,5,2.062,2.004,2.163,1.949,1.555,2.094,2.182,2.176,2.192,1.779,2.061,2.146,2.168,2.144,7.0,156.0,725469.698,4162705.989,0,26844.5658775,11,11.6587860789631,13.1311153666667,8.42853789761601,8.57422334118954,Point,725469.698,4162705.989,68.18241688,Alive,11,Keep
370,513,19.59,14.2,2.558,13.987,21.447,25.856,29.476,12.254,34.255,46.495,55.513,63.463,3.2,725470.78925,4162707.7755,19.5905,5.62819812446833,3.364,1,512,7,2.14,2.484,2.4,2.671,1.805,2.214,2.066,2.073,2.047,2.256,2.466,2.34,2.344,2.308,9.0,268.0,725471.305,4162706.61,0,26844.5658775,11,9.49975316787099,10.4645882666667,7.93112383466726,8.23653331635867,Point,725471.305,4162706.61,64.2716556,Alive,12,Keep
357,497,19.848,13.2,4.306,16.741,28.636,34.781,38.87,16.039,36.726,52.876,62.496,70.905,3.8,725471.689,4162708.73275,19.84775,7.88269393754308,3.617,1,496,7,2.979,2.342,2.423,2.212,3.085,2.688,2.851,2.754,2.701,2.922,2.6,2.615,2.491,2.466,9.0,179.0,725472.771,4162708.074,0,26844.5658775,11,10.9478043495487,10.4253962666667,7.6273370547043,7.42491001897664,Point,725472.771,4162708.074,65.11811232,Alive,13,Keep
335,472,20.944,14.8,3.735,14.726,22.62,28.493,35.595,13.581,33.268,46.097,58.458,72.731,11.2,725477.78225,4162710.26675,20.94375,5.90449206260382,3.413,1,471,6,1.99,2.274,2.103,2.276,2.139,2.11,1.967,1.956,2.087,2.156,2.165,2.065,2.124,2.248,7.0,190.0,725477.439,4162710.356,0,26844.5658775,11,11.2585004417437,13.6505553333333,8.38567508957406,8.66633335595076,Point,725477.439,4162710.356,68.71391296,Alive,15,Keep
