plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,369,24,10.2029000004061,72.06036976,10.26,73.378,10.334,74.649,10.408,75.869,10.473,77.041,10.529,78.169
1,335,24,8.668816706059,72.40485796,8.678,73.331,8.695,74.287,8.712,75.203,8.727,76.081,8.74,76.924
1,302,24,9.53799336252437,69.7014458,9.545,70.594,9.561,71.541,9.577,72.449,9.591,73.321,9.603,74.159
1,278,24,9.60305997899983,69.5866164,9.612,70.504,9.629,71.461,9.646,72.379,9.661,73.26,9.674,74.107
1,262,24,8.65008332694963,66.01378163999999,8.653,66.787,8.659,67.589,8.665,68.355,8.67,69.09,8.674,69.796
1,257,24,9.0020367154876,70.65945108,9.005,71.438,9.011,72.235,9.017,72.999,9.022,73.733,9.026,74.438
1,8,24,8.54279664234083,64.35695744,8.545,65.124,8.55,65.895,8.555,66.635,8.559,67.345,8.562,68.028
1,248,24,8.76108332469729,67.25065832,8.765,68.054,8.771,68.862,8.777,69.636,8.782,70.376,8.787,71.087
1,242,24,8.05504338561857,66.35170816,8.058,67.13,8.063,67.91,8.068,68.658,8.072,69.376,8.076,70.066
1,232,24,9.83007665415343,67.73950348,9.872,68.971,9.926,70.159,9.98,71.3,10.027,72.397,10.068,73.452
1,443,24,9.6358833255465,70.63648520000001,9.65,71.644,9.682,72.718,9.714,73.748,9.742,74.737,9.766,75.687
1,410,24,8.09311334282003,69.143703,8.094,69.798,8.097,70.54,8.1,71.251,8.103,71.933,8.106,72.588
1,402,24,8.3039200157515,70.73491039999999,8.304,71.342,8.306,72.023,8.308,72.676,8.31,73.302,8.311,73.904
1,389,24,8.5292100061616,67.70997592,8.529,68.307,8.531,68.984,8.533,69.631,8.534,70.252,8.535,70.849
1,379,24,7.81775999322096,70.41994976,7.818,70.979,7.819,71.61,7.82,72.215,7.821,72.796,7.822,73.352
1,362,24,8.49734998561173,69.03215444,8.497,69.605,8.499,70.272,8.501,70.912,8.502,71.526,8.503,72.116
1,343,24,8.49379002616477,72.95275824000001,8.494,73.516,8.495,74.164,8.496,74.785,8.497,75.382,8.498,75.956
1,336,24,8.98610334889393,72.88714144000001,8.986,73.454,8.987,74.108,8.988,74.735,8.989,75.337,8.99,75.914
1,18,24,8.58343331316536,69.28149828000001,8.584,69.841,8.585,70.481,8.586,71.095,8.587,71.685,8.588,72.252
1,297,24,8.67412338594526,71.2598448,8.674,71.85,8.675,72.508,8.676,73.139,8.677,73.746,8.678,74.329
1,289,24,7.63927334122247,71.49606528000001,7.639,72.043,7.639,72.627,7.639,73.188,7.639,73.727,7.639,74.245
1,277,24,8.1544666865631,71.98491044,8.155,72.558,8.156,73.163,8.157,73.743,8.158,74.3,8.158,74.835
1,11,24,8.123140007047,68.13648512,8.123,68.713,8.124,69.313,8.125,69.889,8.125,70.442,8.125,70.974
1,267,24,8.33599000434456,67.33267932,8.336,67.94,8.337,68.567,8.338,69.168,8.339,69.746,8.34,70.302
1,9,24,7.63850001138247,62.7952776,7.639,63.395,7.64,64.01,7.641,64.598,7.642,65.163,7.643,65.706
1,258,24,8.1198100045272,66.07283676,8.121,66.752,8.123,67.447,8.125,68.114,8.127,68.751,8.129,69.361
1,252,24,8.70934334259257,67.0767738,8.714,67.905,8.722,68.748,8.73,69.556,8.737,70.327,8.743,71.068
1,527,24,9.51942998088084,69.66207572,9.526,70.551,9.567,71.678,9.608,72.758,9.643,73.795,9.674,74.792
1,489,24,8.11117003273686,66.86680004,8.111,67.446,8.12,68.3,8.129,69.118,8.137,69.902,8.143,70.655
1,477,24,8.32411334827316,68.55643264,8.324,69.112,8.333,69.97,8.342,70.791,8.35,71.579,8.357,72.335
1,468,24,8.12060666275806,68.65485783999999,,,,,,,,,,
1,454,24,7.67807331999166,66.26312548,,,,,,,,,,
1,445,24,8.13787000141359,67.74606516,,,,,,,,,,
1,431,24,8.24998666112833,67.41141948,,,,,,,,,,
1,422,24,8.35951669505804,68.5531518,,,,,,,,,,
1,26,24,7.77705002056466,66.47966092,,,,,,,,,,
1,394,24,8.84373666583296,70.22309936,,,,,,,,,,
1,381,24,9.08544003448969,67.5688998,,,,,,,,,,
1,364,24,8.4695400108822,69.87204948,,,,,,,,,,
1,22,24,8.67377334878737,65.79068452,,,,,,,,,,
1,346,24,9.19640327993031,68.27756124,9.196,68.834,9.2,69.599,9.204,70.333,9.208,71.038,9.211,71.715
1,325,24,8.4014833445714,68.64501532,8.402,69.223,8.404,69.915,8.406,70.578,8.408,71.215,8.41,71.827
1,316,24,8.05874669077953,70.08858492,8.059,70.68,8.061,71.367,8.063,72.026,8.065,72.658,8.066,73.266
1,295,24,9.43091331886634,67.08989716,9.437,67.949,9.453,68.89,9.469,69.792,9.483,70.658,9.495,71.486
1,444,24,8.39484000645544,68.18241688,8.396,68.878,8.404,69.726,8.412,70.538,8.419,71.317,8.425,72.065
1,415,24,7.74791000887307,70.90879491999999,7.748,71.486,7.75,72.176,7.752,72.837,7.754,73.471,7.755,74.08
1,411,24,8.19409337351119,69.67191824,8.194,70.238,8.196,70.923,8.198,71.58,8.2,72.211,8.201,72.817
1,400,24,8.63820998747851,70.620081,8.638,71.186,8.64,71.88,8.642,72.545,8.644,73.183,8.646,73.794
1,390,24,8.2984033600198,71.45341436,8.298,72.004,8.3,72.681,8.302,73.33,8.303,73.953,8.304,74.551
1,371,24,9.00130670424873,67.6017082,9.001,68.173,9.004,68.887,9.007,69.572,9.009,70.23,9.011,70.86
1,360,24,8.80817668513336,67.44750872,8.808,68.003,8.81,68.694,8.812,69.357,8.814,69.991,8.816,70.601
1,330,24,9.39164999127973,74.47834884,9.392,75.06,9.395,75.796,9.398,76.502,9.401,77.18,9.403,77.831
