plot,tree_no,YST,DBH,HT,DBH+1,HT+1,DBH+2,HT+2,DBH+3,HT+3,DBH+4,HT+4,DBH+5,HT+5
1,2911,24,10.3311200293855,65.60695748,10.343,66.57,10.358,67.492,10.373,68.377,10.386,69.226,10.397,70.043
1,2853,24,9.91103003916803,68.5203434,9.918,69.402,9.926,70.246,9.934,71.055,9.941,71.832,9.947,72.579
1,2787,24,9.66300668913727,68.44160324,9.668,69.279,9.674,70.081,9.68,70.85,9.685,71.588,9.69,72.298
1,2670,24,10.1199266829403,68.64829616,10.124,69.45,10.129,70.218,10.134,70.955,10.138,71.662,10.141,72.342
1,2602,24,9.67996665892499,67.19816488,9.682,67.956,9.685,68.679,9.688,69.37,9.691,70.033,9.693,70.671
1,2489,24,10.2844132781482,64.79330915999999,10.287,65.553,10.29,66.279,10.293,66.976,10.296,67.645,10.298,68.289
1,2364,24,10.6870466222857,67.59514652,10.69,68.381,10.694,69.135,10.698,69.858,10.702,70.553,10.705,71.219
1,2301,24,9.12839668348379,64.96391283999999,9.13,65.659,9.132,66.325,9.134,66.964,9.135,67.578,9.136,68.169
1,2232,24,10.3972833589476,69.88517284,10.4,70.644,10.403,71.371,10.406,72.068,10.409,72.738,10.411,73.383
1,2179,24,9.71987665168883,65.89895224,9.722,66.645,9.725,67.36,9.728,68.047,9.73,68.707,9.732,69.341
1,2115,24,9.8257333353042,69.24868988,9.828,70.006,9.831,70.732,9.834,71.428,9.837,72.097,9.839,72.74
1,2051,24,9.72396335546913,70.23950356,9.726,70.998,9.729,71.724,9.732,72.421,9.735,73.09,9.737,73.733
1,1985,24,10.3896966812965,74.07808636,10.394,74.888,10.399,75.661,10.404,76.402,10.408,77.113,10.412,77.797
1,1939,24,9.6580566574005,74.28477928,9.661,75.054,9.664,75.791,9.667,76.497,9.67,77.175,9.673,77.827
1,1864,24,9.59721333817376,70.56102588,9.601,71.356,9.605,72.118,9.609,72.848,9.613,73.549,9.616,74.223
1,1804,24,10.0895866908648,69.60630144000001,10.095,70.468,10.102,71.294,10.109,72.086,10.115,72.846,10.121,73.577
1,100,24,10.2262166031973,59.632547839999994,10.234,60.527,10.244,61.385,10.254,62.208,10.263,62.999,10.27,63.76
1,1702,24,10.2550366881623,68.63845364,10.266,69.594,10.28,70.509,10.294,71.386,10.306,72.224,10.316,73.03
1,1643,24,10.4099433558847,72.014438,10.431,73.096,10.457,74.126,10.483,75.114,10.506,76.063,10.526,76.975
1,1585,24,9.85768335106177,70.5052516,9.892,71.691,9.935,72.826,9.978,73.915,10.015,74.961,10.047,75.967
