cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision,LD,CI1
2572,3641,22.376,16.4,4.599,18.011,26.38,32.024,33.888,15.351,38.596,51.678,61.484,64.889,0.0,725552.2595,4162577.76075,22.37625,6.38435146829579,3.779,1,3640,7,2.026,2.398,2.428,2.456,2.37,2.167,1.999,1.965,1.746,2.344,2.273,2.164,2.12,1.858,4.0,116.0,725552.172,4162578.007,0,26844.5658775,61,12.1758147999707,12.5965857,8.77066236827098,8.76243664349539,Point,725552.172,4162578.007,73.41207584,Alive,33,Keep,23.728678430585518,16.132
2563,3631,22.229,15.4,4.095,14.701,23.967,30.875,35.578,14.033,33.643,49.606,62.95,72.651,0.0,725553.87725,4162578.88475,22.2295,5.76375946882763,3.456,1,3630,7,2.233,2.52,2.438,2.328,2.415,2.15,2.275,2.396,2.506,2.349,2.255,2.405,2.522,2.612,7.0,197.0,725553.855,4162578.905,0,26844.5658775,61,12.0682620874065,13.4376903,8.6045411307445,8.86108668290111,Point,725553.855,4162578.905,72.92979236,Alive,34,Keep,23.99582273729621,15.711
109,191,21.437,17.8,3.123,14.618,25.746,32.753,33.947,12.316,33.395,51.439,63.453,66.57,0.0,725554.64375,4162579.046,21.43675,6.26397790620104,3.462,1,191,7,2.57,2.518,2.581,3.003,2.115,2.297,2.535,2.614,2.37,2.329,2.382,2.587,2.614,2.368,2.0,44.0,725555.474,4162579.596,0,26844.5658775,61,11.7570454287955,15.4461241666667,8.11116814754516,8.1027467022708,Point,725555.474,4162579.596,70.33136708,Alive,35,Keep,21.942238069749326,15.668
2517,3581,22.699,15.2,2.915,18.55,30.161,38.777,43.518,11.107,39.372,55.468,70.117,79.901,0.0,725557.0745,4162580.7385,22.69875,6.84221512507065,3.508,1,3580,7,2.428,2.542,2.372,2.337,1.72,2.609,2.571,2.665,2.578,1.798,2.561,2.505,2.593,2.525,9.0,210.0,725556.861,4162581.01,0,26844.5658775,61,13.2335454242177,13.4244858,8.89406158500768,9.02571007756637,Point,725556.861,4162581.01,74.47178716,Alive,36,Keep,24.44162289004973,14.186
2504,3567,20.885,14.8,10.673,27.606,36.279,46.027,53.741,27.226,48.79,59.661,75.653,89.008,4.0,725558.11575,4162580.96275,20.8855,8.66029862512369,3.749,1,3566,7,2.92,2.142,2.357,2.149,6.202,3.575,2.802,2.783,2.796,4.375,2.928,2.459,2.483,2.499,8.0,145.0,725558.793,4162582.317,0,26844.5658775,61,13.3777292007278,11.7775909,8.37641873305648,8.28879337055597,Point,725558.793,4162582.317,68.5203434,Alive,37,Keep,22.44605244746557,13.642
2476,3537,21.533,15.8,7.304,24.167,38.778,50.859,67.557,21.663,45.701,64.511,81.884,102.491,0.0,725561.4755,4162583.56775,21.533,8.79356224974617,3.885,1,3536,8,2.771,2.357,2.39,2.549,4.344,3.143,2.89,2.813,3.243,3.519,2.77,2.641,2.585,2.79,6.0,135.0,725561.061,4162583.807,0,26844.5658775,61,15.3775845420808,13.8066205666667,9.45538383856414,9.75384334238097,Point,725561.061,4162583.807,70.64632772,Alive,38,Keep,26.413407771167666,11.112
2447,3505,22.68,12.8,2.521,21.236,45.543,62.736,72.315,10.289,42.144,70.409,90.314,103.392,0.0,725563.01175,4162585.1735,22.6805,11.8016643445299,4.763,1,3504,6,2.139,1.787,1.929,1.564,0.896,1.626,1.962,1.95,1.908,1.045,1.626,1.814,1.793,1.763,8.0,144.0,725563.321,4162585.56,0,26844.5658775,61,16.6312665009692,16.3901326,10.2892610687322,9.6997033788427,Point,725563.321,4162585.56,74.40945119999999,Alive,39,Keep,26.266796749906035,9.11
3180,4293,21.429,13.8,2.876,17.991,40.961,48.299,55.119,11.747,37.621,65.875,75.596,86.031,0.0,725493.72725,4162528.82625,21.429,10.3826210942643,4.84,1,4292,7,1.946,2.023,2.175,2.001,1.507,1.537,1.968,1.855,1.75,1.51,1.652,1.974,1.884,1.802,5.0,123.0,725493.592,4162528.541,0,26844.5658775,64,13.9391992917059,15.1476005,9.74783428722185,9.13626189604398,Point,725493.592,4162528.541,70.30512035999999,Alive,1,Keep,24.7409972144871,6.054
3173,4284,21.892,14.6,3.773,21.679,39.047,46.642,56.003,13.755,42.673,64.664,74.2,89.662,0.0,725496.12375,4162529.91125,21.89175,9.67232150022755,4.262,1,4283,7,2.113,2.154,1.946,2.306,3.431,2.579,2.341,2.098,2.108,2.548,2.318,2.212,2.002,2.06,5.0,120.0,725496.208,4162529.774,0,26844.5658775,64,14.3451003155703,15.3601858666667,9.5772583798741,9.85213334270997,Point,725496.208,4162529.774,71.82414928,Alive,2,Keep,26.679577092058604,7.336
3165,4276,21.359,16.0,2.538,14.073,29.333,41.548,47.124,10.529,33.207,56.008,76.693,86.138,0.0,725497.22325,4162531.2295,21.3595,8.19081562501378,4.625,1,4275,7,2.232,2.294,2.511,2.817,2.295,1.776,2.06,2.299,2.115,2.014,1.934,2.18,2.457,2.248,3.0,66.0,725497.801,4162531.028,0,26844.5658775,64,13.1361708712042,15.3481654666667,9.27691764963701,9.01138667169657,Point,725497.801,4162531.028,70.07546156000001,Alive,3,Keep,24.402835106954313,8.55
3161,4271,21.867,14.4,3.662,19.37,35.317,49.914,60.206,14.359,43.042,63.751,84.724,100.817,11.4,725499.608,4162532.08875,21.86725,8.90960890596034,4.789,1,4270,5,2.002,1.904,2.027,2.181,4.066,2.552,2.19,2.227,2.257,3.075,2.372,2.073,2.111,2.136,5.0,96.0,725499.545,4162531.75,0,26844.5658775,64,14.862687785582,15.7425656,9.86540744999643,9.28651000553117,Point,725499.545,4162531.75,71.74212828,Alive,4,Keep,25.14786909497841,8.808
3157,4265,21.652,13.8,1.655,12.626,28.588,40.793,47.904,7.981,31.511,56.689,75.202,87.013,0.0,725500.86825,4162533.12825,21.65175,7.82879415666685,4.323,1,4264,6,2.138,2.183,2.187,2.305,1.634,1.84,2.124,2.182,2.098,1.599,1.904,2.18,2.229,2.128,6.0,130.0,725500.996,4162533.019,0,26844.5658775,64,13.2526547184582,14.4335776,9.21552904532383,9.18101000613487,Point,725500.996,4162533.019,71.03674768,Alive,5,Keep,24.862175096613228,9.64
3148,4256,21.489,16.6,2.811,14.042,26.706,36.477,43.724,12.016,34.285,54.436,71.316,85.994,0.0,725502.476,4162534.37975,21.48925,7.05724993697368,4.511,1,4255,6,1.856,2.172,2.342,2.539,2.488,2.008,1.906,1.88,1.908,2.381,2.101,2.083,2.109,2.169,2.0,50.0,725502.434,4162534.139,0,26844.5658775,64,12.8771099030074,15.2863188666667,9.32761928348773,9.3434700313043,Point,725502.434,4162534.139,70.50197076,Alive,6,Keep,25.302116844772044,10.305
3144,4251,21.362,16.0,4.216,19.533,36.912,51.85,62.114,14.419,40.272,63.05,83.348,99.991,0.0,725504.02,4162534.7835,21.36175,9.16496331238886,4.784,1,4250,7,2.774,2.371,2.646,2.792,4.103,3.219,3.106,3.123,3.109,2.916,2.721,2.699,2.741,2.755,2.0,36.0,725504.287,4162534.438,0,26844.5658775,64,14.902218588767,13.3367665333333,9.58610642711825,9.60964000717337,Point,725504.287,4162534.438,70.08530408,Alive,7,Keep,26.02290513942549,9.933
3134,4241,21.313,12.4,4.042,18.787,32.635,43.806,48.396,14.03,39.39,58.705,74.44,82.985,0.0,725505.514,4162536.52425,21.31325,7.63577665589401,3.807,1,4240,8,2.534,2.708,2.364,2.494,4.3,3.239,2.879,2.831,2.655,3.17,2.913,2.738,2.702,2.564,9.0,198.0,725505.611,4162536.621,0,26844.5658775,64,12.9188219990806,13.2374456666667,9.06342913515065,8.54420003344842,Point,725505.611,4162536.621,69.92454292,Alive,8,Keep,23.13769369057832,11.568
131,219,20.417,11.6,1.401,10.181,24.727,36.964,43.076,9.173,28.477,52.331,69.968,80.761,10.6,725506.2925,4162535.9235,20.41725,7.57028956268914,4.144,1,218,7,2.416,2.481,2.221,2.472,1.51,1.898,2.508,2.366,2.146,2.096,2.023,2.408,2.3,2.152,11.0,262.0,725507.274,4162535.588,0,26844.5658775,64,11.5807539016592,12.6561432666667,8.74301537645075,8.42554672294911,Point,725507.274,4162535.588,66.98491028000001,Alive,9,Keep,22.81638052574619,10.125
130,218,20.589,9.8,1.219,13.632,32.673,50.964,66.292,7.072,34.725,60.814,83.449,102.46,0.0,725509.4205,4162538.419,20.5895,10.0978088433913,4.784,1,217,6,2.75,1.992,2.151,1.566,1.092,2.211,2.747,2.781,2.899,1.303,2.115,2.311,2.304,2.338,13.0,209.0,725509.009,4162537.387,0,26844.5658775,64,14.4403350041262,12.2075411333333,9.34072303533361,9.46370669174146,Point,725509.009,4162537.387,67.54921476,Alive,10,Keep,25.62771772123588,10.719
